Orthogroup	Human.UniProt.renamed	Zebrafish.UniProt.renamed
OG0000038	Q8N6K7	A0A8M6Z629, Q5RG00, A0A8M9Q3D5, A0A8M9PBQ5, A0A8M9PIM7, A0A8M1PRW6, A0A8M2BB39, A0A8M9PQV0, A0A8M2BLV9, A0A8M9PKD1, A0A8M9QAH4, A0A8M9Q7J2, A0A8M9P618, A7MD75, I3IT02, A0A8M3AH58, A0A8M9Q541, A0A8M6YVE0, A0A8M9PYE6, A0A8M9P2T4, A0A8M9Q2W1, A0A8M2B4L7, A0A8M3B996, A0A8M9PFB3, A0A8M9PJI0, A0A8M6YZS0, A0A8M1Q1H2, A0A8M1QKD0, A0A8N7T5W2, A0A8M2BAU4, A0A0R4IB49, A0A8M3AVU4, A0A8M1QVG7, A0A8M6Z6G1, A0A8M3AYF1, A0A8M9P5L6
OG0000052	P62736	Q6DHS1
OG0000052	P68032, P68133	Q6IQL9
OG0000052	Q9Y615, Q9Y614, Q8TC94, Q9H568, Q9BYD9, Q8TDY3, Q8TDG2, P63261, P60709, Q6S8J3, A5A3E0, P0CG38, P0CG39, Q9BYX7, A6NI47, Q6S5H5, Q6S545, Q6S8J7, Q86YR6, B2RU33, A0JP26, H3BUK9, A0A0A6YYL3, Q562R1	Q7ZVF9, Q7ZVI7
OG0000055	Q9UJ55, Q96MG7, Q9HAY2, Q9H213, A0A0J9YX57, Q8N7X4, A8MXT2, P43366, O15479, O15481, O15480, Q9BZ81, Q96LZ2, Q96M61, A2A368, A6NCF6, P43358, P43357, P43360, P43365, P43356, P43359, P43355, P43361, P43362, P43364, P43363, Q8TD91, Q9UBF1, O60732	Q7T0K5
OG0000060	Q08379, P0CG33, A6NDK9, A6NDN3, Q9NYA3, A6NEF3, A6NEM1, A6NI86, H0YKK7, Q9HBQ8, A7E2F4, A8MQT2, P0DX53, P0DX52, Q0D2H9, A6NN73, H3BPF8, F8WBI6, H3BV12, A6NCC3, I6L899, H3BSY2, A6NC78, A6NMD2, P0CJ92, D6RF30, A0A1W2PRN1, H3BQL2	A1IH00
OG0000066	Q8NH07, Q8NG94, B2RN74, Q8NGZ6, O95222, Q8NH79, A6NL08, Q96RD1, Q9NZP0, A6NM76, A6NJZ3, A6NF89, A6NIJ9, A6NDL8, Q9NZP2, A6NCV1, Q8NGE1, Q8NGE2, Q8NGM8, Q8NGC5, Q8NGN1, Q8NH40, Q8N148, Q8NGT5, Q8NGU1, Q8NGU2	F1Q7C9
OG0000068	Q92527, A2RUR9, Q8IYA2, Q3MJ40, Q6NUI1, Q9UPS8, Q8IVF6, A2A2Z9, Q9H560, Q5SQ80, Q5VUR7, Q5TYW2, Q4UJ75, A0PJZ0, Q5CZ79, Q8NF67, Q6NSI1, A7E2S9, Q9BXX3, Q9BXX2, A6NC57, Q96IX9, A6QL64, Q8N2N9, Q5JPF3	A0A8M9PYM5
OG0000070	Q9P275	E7F4C0
OG0000070	Q9H9J4, D6R901, C9JPN9, D6RJB6, D6RCP7, C9J2P7, C9JVI0, D6R9N7, D6RA61, C9JJH3, A6NCW7, P0C7I0, Q7RTZ2, A6NCW0, Q6R6M4, P0C7H9, D6RBQ6, C9JLJ4, D6RBM5, Q6QN14, A8MUK1, Q0WX57	F1QY38
OG0000071	Q2L4Q9, Q5K4E3, Q8NF86, Q16651, Q9BQR3, Q9GZN4, Q7RTY5, Q7Z5A4, Q7RTY3, Q9UI38, Q6PEW0, A0A1B0GVH4, Q6UWB4, Q9Y6M0, Q7RTY9, E5RG02, A8MTI9, A1L453, Q9NRR2, A6NIE9, Q9BZJ3, Q15661, P20231	A0A8M1Q1Z2, Q6DHH4
OG0000093	A0A0C4DH38, A0A0J9YXX1, A0A0G2JMI3, A0A0C4DH33, P01743, A0A0B4J2B8, A0A087WYE8, P01742, A0A0B4J2H0, A0A0C4DH31, A0A0C4DH29, A0A0C4DH39, A0A0J9YVY3, A0A0B4J1V7, P0DTW3, A0A0A0MS14, A0A0J9YW62, P0DP01, A0A075B7D0, P23083	A0A8M9Q572
OG0000119	Q15544, A0A1W2PRN6, A0A1W2PQ09, A0A1W2PPW3, A0A1W2PPL8, A6NLC8, A0A1W2PPH5, A0A1W2PR64, P0DW13, A0A1W2PP81, P0DW14, P0DW11, P0DW12, A0A1W2PPE2, A0A1W2PRV1	A8KBY5
OG0000121	Q9Y5I4, Q9H158, Q9Y5H7, Q9Y5H6, Q9UN73, Q9UN75, Q9Y5I2, Q9Y5I1, Q9Y5I0, Q9Y5H9, Q9Y5I3, Q9Y5H8, Q9UN74, Q9UN72, Q9Y5H5	Q60I64
OG0000124	Q96DM1	A0A8M9PGB7, A0A8M6YVN8, A0A8M9QFU5, A0A8M9Q943, A0A8M9Q1P4, A0A8M9PL38, A0A8M9PIF9, A0A8M9PJU7, A0A8M2B6N5, A0A8M2B6R3, A0A8M1RN34, A0A8M6Z4A8, A0A8M3AW26, A0A8M1NED1, A0A8M2BK12
OG0000132	P47944, P04733, P02795, P80297, P80294, P0DM35, P13640, P04731, Q93083, Q8N339, P07438, P04732, P25713	A0A0R4IE87, P52722
OG0000133	P12883, P13533, Q9Y623, P12882, Q9UKX2, P13535, P11055, Q9UKX3, Q9Y2K3, A7E2Y1	A0A8M1NBP6, B6IDE1, A0A8M9PPA1, A0A0R4INI3, F1QZW1
OG0000135	Q12836, P60852	A0A8M9PPC7
OG0000135	Q05996	F1QUS3, F1QJ26, F1QNI8, F1QMZ0, F1R003, Q98SS0, A7MBW8, A3KP56, Q1RM40, A4QNZ1, F1R4N4
OG0000146	O94919	A0A8M1QQQ0, E7FFP6, A0A8M9PQK1, A9JRH2, A0A0R4IVU6, Q08BC3, A0A8M6Z2K2, A0A8M2B5V4, B0R0N8, A0A8M3B767, A0A8M2BIK9, A0A8M9P7R8, A0A8M3B2I9
OG0000150	P35499	Q2XVR3
OG0000150	Q9UQD0	A0A8M2B935
OG0000150	Q01118, Q15858, Q9NY46, Q99250, P35498	A0A8M9Q653
OG0000151	Q9ULB5	A0A8M2BAG9
OG0000151	P55289	A0A8M9Q975
OG0000151	Q9Y6N8, P55285, Q9ULB4	Q2MLR9, Q5WN09
OG0000152	P03950, P34096, Q5GAN4, Q5GAN6, P10153, P12724, Q8TDE3, Q9H1E1, Q93091, P07998	A5HAK1, A5HAK2, A5HAK0
OG0000153	A0A0A6YYK6, A0A087WT02, A0A075B6T8, A0A0B4J280, A0A075B6X5, A0A0B4J244, A0A0A6YYJ7, A0A0A6YYK1, A0A075B6U6, A0A0B4J262, P01737, A0A0B4J237	A4JYR0
OG0000156	Q96MD7, A0A096LPI5, Q8NEM8, F2Z398, Q8TDM0, Q8N976, Q8N2A0, A6NIU2, Q96T75, Q5T7P6, Q9BUA6, Q8IV13	Q68EL4
OG0000158	Q9BUF5	A0A0R4IXC8
OG0000158	P07437	Q6NW90
OG0000158	P04350	Q6P5M9
OG0000159	Q6NXR0	A0A8M1P8B8, E7F6D1, A0A2R8Q1M9, A0A8M1QKQ6, A0A8M9PK25, A0A8M9P7N2, A0A2R8RQN4, A0A8M6YVB0, X1WE34, E7EYG3
OG0000159	Q8WZA9	Q1LY91
OG0000161	Q3KQU3	A0A8M6YYY2, A0A8M6Z9W4, A0A8M9QGK8, A0A8M3B5N8, A0A8M1RSK8, A0A0R4IS95, A0A0R4INY9, A0A0R4IQV6, A0A0R4ICK5, A0A8M2BL29, A0A8M9PD59, A0A8M3AIT0
OG0000170	P07199, Q8IY51, Q6B0B8, Q17RP2, Q53EQ6, Q6NT04, B2RD01, Q96MW7, O75564, Q9Y4A0, Q4W5G0	A0A8M1QLH5
OG0000171	A6NC86, O95274, Q03405	A0A0R4IAR1, A0A8M9PCV3, A0A8M9PKD7, A0A8M9PNE1, A0A8N7UR86, A0A0R4IW80, A0A8M2BH09, E7F0J8, A0A8M9PKG4
OG0000174	Q9BQE3	B8A516
OG0000174	Q71U36, Q9NY65, Q6PEY2, P0DPH7, P0DPH8	Q6NWK7
OG0000174	P68366, A6NHL2, P68363	B8A518
OG0000175	O60882	A0A8M6YV12
OG0000175	Q9NRE1, P09237, Q9H306, P22894, P03956, P39900, P08254, P09238, P45452	A0A8M1Q2B6
OG0000176	Q92956	B0V329, A0A8M9QIX2, A0A8M1RM46, Q0P402, A0A8M3BBS2, A0A8M9PRR4, A0A8M9QE45, A2RV47
OG0000176	P25445, P43489	A0A8N7TAY6
OG0000177	Q5T9G4, Q8N2F6, Q9P291, Q7L311, Q7L4S7, Q9UH62, Q5H9R4, Q6P1M9, Q6PI77, Q96D09, Q5JY77	A0A0R4IWE3
OG0000178	P00995	A0A0R4IW50, A0A8M9QKV3, A0A0R4IIR6, A0A0R4IFD2, A0A0R4IN12, A0A0R4IF19, A0A0R4IUN8, A0A0R4IPC1, A0A0R4ITM8, A0A0R4IEA1, A0A0R4IES2
OG0000186	O75526, Q8N7X1, P38159, Q96E39, Q15415, A6NDE4, P0C7P1, A6NEQ0, P0DJD3, P0DJD4	Q7ZWA3
OG0000189	Q96P47	A0A8M3AZA0
OG0000189	Q99490, Q9UPQ3, Q8TF27, Q5VTM2, A6NIR3, Q5VUJ5, Q5VW22, Q96P64	A0A8M3B0C5
OG0000191	P02776, P10720, P02775, Q07325, P02778, P42830, P80162, P09341, P19875, P19876	A0A0G2KYH9
OG0000192	O00338, O75897, Q6IMI6, P50225, P50226, P0DMN0, P0DMM9, P49888, O43704	Q6DHH8, Q49IK6
OG0000203	Q96PC5, Q96RT6, Q8IX95, Q86UF2, A4D2H0, P0CG41, Q8IX94, A0A2R8YE69, A4FU28	A0A8M9PEK9
OG0000204	O15496	Q6DHQ7
OG0000204	P39877, Q9NZK7, Q5R387, P14555, Q9UNK4, Q9BZM2, Q02509	A0JL26
OG0000205	P49238, P51685, P51679, O00590, P32246, P51677, O00421, P51681, P41597	A0A8M2BKR3
OG0000206	Q13443, O43506, Q9UKJ8, Q9UKF5, Q9UKF2, Q99965, Q8TC27, Q9Y3Q7, Q6NVV9	A9JSX7
OG0000207	Q58FG0, Q58FG1, Q14568, P07900	Q5RG12
OG0000207	Q58FF7, P08238, Q58FF8, Q58FF6	O57521
OG0000208	Q9GZX7, P41238, Q9UH17, P31941, Q9HC16, Q6NTF7, Q8IUX4, Q96AK3, Q9NRW3	Q5YF88
OG0000210	Q8TBZ5, O43296, Q5CZA5, Q08ER8, Q14592, Q7Z398, Q96NL3, P51504	R4GEB4, R4GEK1
OG0000211	Q9UM47	Q800E4
OG0000211	Q99466, Q04721, A0A096LNW5, P0DPK3, Q7Z3S9, P0DPK4	A0A0R4IN59, F1RCH4
OG0000212	O96006	A0A8M9PAG6, A0A8M6Z2U7, A0A8M6Z2R9, A0A8M9PYK6, A0A8M6Z1Y5, A0A8M9PN68, A0A8M2B1Y7, A0A0R4IWH1, A0A8M9QN30
OG0000213	Q6HA08	Q14TH1, Q5BKW6, Q4QRC8, F1REP3, A0A8M3AVT9, E7F0X0, A0A8M6Z8J3, A4VCG4, Q1LW01
OG0000224	P62937, Q9Y536, F5H284, P0DN26, A0A075B759, A0A0B4J2A2, P0DN37, A0A075B767	Q6PC53
OG0000225	Q9Y462	A7Y7X5
OG0000225	Q96JM3	A0A0R4ILE1, X1WC64
OG0000225	P08048, P17010	A0A8N7UR26, E7F557
OG0000226	P32455, Q9H0R5, P32456, Q96PP8, Q8N8V2, Q96PP9, Q6ZN66	A0A8M9Q4E9, E9QF26
OG0000228	P13637	Q4KMK4
OG0000228	P50993, Q13733	Q9DGL5
OG0000228	P20648, P54707, P05023	Q90X33
OG0000229	Q8NDA8, Q6ZUA9, A6NGR9, Q68CQ1, Q9H579, A6NES4, Q7Z745, Q9BYG7	A0A8M6Z208
OG0000230	P0DMV9, P0DMV8, P48741, P17066, P34931	A0A8M1NE33
OG0000230	P54652, P11142	Q90473
OG0000231	P17655	Q6DFZ8
OG0000231	A6NHC0, Q9UMQ6, Q6ZSI9, Q6MZZ7, A8MX76, P07384	Q7ZUR1
OG0000232	A0A1W2PQ72	X1WBH5, A0A8M1RQZ9, I3IST1, A0A8M1P3L9, A0A8M3AP29, A0A8M9QI12, A0A8M1RRE7, X1WCE1
OG0000237	Q4U2R8, Q8TCC7, Q9NSA0, Q96S37, Q63ZE4, Q8N4F4, Q8IVM8, Q6T423	Q6NYN7
OG0000238	Q6UWQ5, Q7Z4W2, Q8IXA5, Q96KX0, O75951, Q96QH8, P61626, P00709	Q90YS5
OG0000241	Q9UHC6	A0A8M3B6M0
OG0000241	Q8WYK1	A0A8M3AUM4
OG0000241	Q9C0A0, Q96NU0, A0A1B0GTE1, Q9BZ76	A0A8M2B1Z8
OG0000242	Q8N5D6	A2BIR9, A0A8M9QDS3, A0A8M6Z6Z5, A0A8M2BCD3, Q7SXD8, B0S7I1, A0A8M3ASD7, Q7ZTV7
OG0000244	P51589	Q5U3D5, Q5TZ86, Q5TZ85, Q7ZU60, A0A8M1PZ56, Q5TZ75, A0A8M9PPW9, Q803J0
