Orthogroup	Zebrafish.UniProt.renamed	Human.UniProt.renamed	Category
OG0002028	Q9PV90	P05388, Q8NHW5	one-to-many
OG0002029	Q6P0F4	P57052, Q9Y580	one-to-many
OG0002030	A0A8M2BJT3, Q56A46	Q6P3R8	many-to-one
OG0002031	Q0P442, Q0P467	Q6P5S7	many-to-one
OG0002032	Q08BL9	Q6PF15, Q6TFL4	one-to-many
OG0002033	A0A8M3ALC9, B8PYG1	Q6X4W1	many-to-one
OG0002034		P0CG01, Q86XP6, Q9NS71	human_exclusive
OG0002035	A0A8M2B8Q7, A0A8M9QBG7	Q9BQF6	many-to-one
OG0002036	A2CEY8	Q5TAP6, Q9BVJ6	one-to-many
OG0002037	A0A8M9QAY2	O15068, Q86YR7	one-to-many
OG0002038	Q9DDU0, Q9DDU1	P31270	many-to-one
OG0002039	E9QIU2	Q01804, Q9NP73	one-to-many
OG0002040	A0A8M1RI64	Q1HG43, Q1HG44	one-to-many
OG0002041	A0A8M9P1R3, A0A8M9P5Q3	Q5VTL7	many-to-one
OG0002042	A0A2R8RX28	H3BU10, Q8N635	one-to-many
OG0002043	A0A8M9QBU0	Q8N0W4, Q8NFZ3	one-to-many
OG0002044	E7F2L3	O95382, Q99683	one-to-many
OG0002045	Q5XJ28, Q6DGP8	Q9NPD7	many-to-one
OG0002046		O14609, Q5GH77, Q6PP77	human_exclusive
OG0002047	A0A8M6Z7D0	O43312, Q765P7	one-to-many
OG0002048	A2VD21, P79746	P20265	many-to-one
OG0002049	A0A8M9P3L7	P46934, Q96PU5	one-to-many
OG0002050	B0LK22	P56703, P56704	one-to-many
OG0002051	A3RK74, A3RK75	Q12778	many-to-one
OG0002052	A0A8M3AJY3, A0A9U6SKU9	Q15018	many-to-one
OG0002053	Q6ZM24	Q07617, Q15785	one-to-many
OG0002054	A5PF31	Q5VWQ8, Q86YV0	one-to-many
OG0002055	A0A8M3B1J1, A3KQM6	Q8TDN1	many-to-one
OG0002056		P0C0E4, Q12829, Q8WXH6	human_exclusive
OG0002057	E9QJ75	O95741, Q96A23	one-to-many
OG0002058	A0A0R4IP47, A0A0R4IRQ0	Q9HA90	many-to-one
OG0002059	F1QWR0	Q9BS92, Q9UFN0	one-to-many
OG0002060	B8JIG2	A6NGH8, Q7Z713	one-to-many
OG0002061	Q9PUR2	O14558, P02511	one-to-many
OG0002062	E7F7K2	B2RNN3, P0C862	one-to-many
OG0002063	A0A8M9P9X9	O75914, Q13153	one-to-many
OG0002064	A0A8M2BCV6, F1QQP6	Q15059	many-to-one
OG0002065	A0JMM0, A3KNX0	Q5T0B9	many-to-one
OG0002066	A7MBX0	Q6PIV2, Q6PJQ5	one-to-many
OG0002067	A0A8M9P169	P40818, Q70EL3	one-to-many
OG0002068	A0A0R4IMY7	O94759, Q7Z2W7	one-to-many
OG0002069	Q6NYQ2	Q8NEA9, Q96IK5	one-to-many
OG0002070	F1RE97	Q92551, Q96PC2	one-to-many
OG0002071	A0PJS0, F1Q7W7	Q9H228	many-to-one
OG0002072	Q7T3F7	Q9UHD1, Q9UKP3	one-to-many
OG0002073	Q642M9, Q7T379	Q9UQ10	many-to-one
OG0002074	Q7ZVS6	A6NHX0, Q8NAP1	one-to-many
OG0002075	A0A8M9P793	O60921, Q8NHY5	one-to-many
OG0002076	Q5BJ18, Q6PBV8	O75506	many-to-one
OG0002077	D1FTM8, Q7ZZJ7	P02730	many-to-one
OG0002078	F1QD07	P18075, P22004	one-to-many
OG0002079	E7FH20, F1Q5N3	P37288	many-to-one
OG0002080	Q4QRD6, Q8QGH5	P47874	many-to-one
OG0002081	Q498V7	O15172, P78330	one-to-many
OG0002082	A0A8M2BDJ7, A0A8M9QI71	Q04912	many-to-one
OG0002083	Q803L4	Q14241, Q8IYF1	one-to-many
OG0002084	A0A8M2B5S1, E7EXR7	Q5SYE7	many-to-one
OG0002085	A0A2R8QP51	Q6V1X1, Q86TI2	one-to-many
OG0002086	Q5TZH9	Q8NC56, Q9Y2U8	one-to-many
OG0002087	B8A4G8	Q8WW24, Q8WZ33	one-to-many
OG0002088	Q568L1, X1WF92	Q9BZD6	many-to-one
OG0002089	A0A8M3AQ20, F1QEB7	Q9BZH6	many-to-one
OG0002090	A0A8M9P2X3, E7FC68	Q9H6D8	many-to-one
OG0002091	Q5W7F1	P0C7U1, Q9NR71	one-to-many
OG0002092	A0A8M1P9J6, F1QDI9	Q9NXL9	many-to-one
OG0002093	A0A8M3AQ35, F1R1W8	Q9NY61	many-to-one
OG0002094	Q804J6	P16885, P19174	one-to-many
OG0002095	A0A8M2B875, A0A8M3AS66	Q13094	many-to-one
OG0002096	A0A8M9P9W0	Q13402, Q6PIF6	one-to-many
OG0002097	A0A8M3AUJ8, I3ITP9	Q5HYW2	many-to-one
OG0002098		Q6UWN0, Q8N6Q3, Q9BY14	human_exclusive
OG0002099	Q6P4U7	Q15629, Q8N609	one-to-many
OG0002100	F1QV50	Q92832, Q99435	one-to-many
OG0002101	Q800Q5, Q9YHE8	Q9HCS4	many-to-one
OG0002102	Q9PVF8	P35221, Q9UI47	one-to-many
OG0002103	A0A8M2BKX6, A0A8M9P3R3	O60292	many-to-one
OG0002104	F1RAK7	O95395, Q02742	one-to-many
OG0002105	O42248	P63244, Q6ZMY6	one-to-many
OG0002106	A0A8M9Q6C3, X1WG89	Q8N967	many-to-one
OG0002107	A0A8M1P999, E7F378	Q9H0K1	many-to-one
OG0002108	E7FBC7	Q9H4A9, Q9H4B8	one-to-many
OG0002109	A8E7A9, Q08CN3	Q9Y2Y9	many-to-one
OG0002110	A0A0R4IQG7	P29474, P29475	one-to-many
OG0002111	A0A8M9QG49, Q696W0	Q15772	many-to-one
OG0002112	Q66HY8	Q6P474, Q6P996	one-to-many
OG0002113	D5FS19	Q7Z6J4, Q96M96	one-to-many
OG0002114	A0A0R4IZF6, A0A8M2BKV0	Q8IVW6	many-to-one
OG0002115	F1RCY6	Q86YA3, Q92900	one-to-many
OG0002116	A0A8M9Q068, Q0IIP9	Q96JJ7	many-to-one
OG0002117	Q803Q2	Q9GZM8, Q9NXR1	one-to-many
OG0002118	F1R143, Q5RIC3	Q9H8N7	many-to-one
OG0002119	A1L288	Q9BXI2, Q9Y619	one-to-many
OG0002120	A0A0R4IU78, F1R4K6	A8MYZ6	many-to-one
OG0002121	A0A8M1RIG4	O14525, O75129	one-to-many
OG0002122	A0A8M9P0S4, Q503V4	O95428	many-to-one
OG0002123	A0A8M3B8D0	O94973, O95782	one-to-many
OG0002124	A0A8M9P088	O00423, O95834	one-to-many
OG0002125	A0A8M9P2H3, F1QC31	P0C6C1	many-to-one
OG0002126	Q08CN0	P0DI81, P0DI82	one-to-many
OG0002127	A0A8M6Z2C4, A0A8M6Z3D3	P29459	many-to-one
OG0002128	A0A8M9P9J4, E7FFQ4	P51511	many-to-one
OG0002129	Q803I4	Q06587, Q99496	one-to-many
OG0002130	A0A8M9PQE9	Q1A5X7, Q8TF30	one-to-many
OG0002131	A0A0R4IAX4, A0A8M1RT79	Q69YG0	many-to-one
OG0002132	A0A0R4IT13, F1QGH6	Q8N7J2	many-to-one
OG0002133	Q502G2, Q6NV38	Q96HV5	many-to-one
OG0002134	A0A8M9PGL4, E7FH60	Q9BRJ6	many-to-one
OG0002135	A0A0R4IIK0, A5PF55	Q9BYE2	many-to-one
OG0002136	Q7ZVM4	Q496M5, Q9H4B4	one-to-many
OG0002137	A0A8N7TDN4, Q90Y56	Q9Y219	many-to-one
OG0002138	A1L1V4	Q96JB6, Q9Y4K0	one-to-many
OG0002139	A0A8M9PL57, A2AV71	Q9Y5X5	many-to-one
OG0002140	Q802V5	O75155, Q86VP6	one-to-many
OG0002141	F1QG14	Q6ZQY3, Q9Y600	one-to-many
OG0002142	A0A8M9Q271	Q8J025, Q8NCL9	one-to-many
OG0002143	A0A8M6YYB4	Q5T4T6, Q9BX26	one-to-many
OG0002144	A0A8M3B1P0, A0A8M9PY27	Q9Y6V0	many-to-one
OG0002145	A0A8M1RH90, Q5XJP3	O43759	many-to-one
OG0002146	A0A1D5NSS2	O75925, Q9Y6X2	one-to-many
OG0002147	A0A8M3AWT9, A0JME5	Q16816	many-to-one
OG0002148	E7F6M7	Q6NUI2, Q9HCL2	one-to-many
OG0002149	A0A8M2B8L3	Q5TAT6, Q86Y22	one-to-many
OG0002150	A0A0R4IU39	Q12834, Q86Y33	one-to-many
OG0002151	F1Q9M4	Q8N4M1, Q8WWI5	one-to-many
OG0002152	A0A8M3AXR1, A0A8M3AY55	Q8WXD9	many-to-one
OG0002153	Q6DGV1	Q96J87, Q9BZC1	one-to-many
OG0002154	A0A8M6Z849, Q5U3I4	Q9H6A0	many-to-one
OG0002155	A0A0H2UKW6	O43823, Q9ULX6	one-to-many
OG0002156	A0A8M1N6Y6, B7ZVD9	Q9Y289	many-to-one
OG0002157	A1YB07, B8A5S6	Q9Y2J4	many-to-one
OG0002158	A0A8M9QEH5, P0CB65	A7MD48	many-to-one
OG0002159	A0A8M3B2G3	P06865, P07686	one-to-many
OG0002160		O94772, P0DTL4, Q16553	human_exclusive
OG0002161	Q501X2	Q1X8D7, Q9P209	one-to-many
OG0002162	A0A8M9PHX7, Q6P011	Q5J8M3	many-to-one
OG0002163	A5PMF6	Q8IYK4, Q8NBJ5	one-to-many
OG0002164	Q9I9N6	Q8WXC3, Q9ULZ3	one-to-many
OG0002165	F1R441	Q76B58, Q9C0B6	one-to-many
OG0002166	A5PLE2, E7F2I6	Q9H1C7	many-to-one
OG0002167	G8Z411, Q2KNE5	Q9UHM6	many-to-one
OG0002168	A0A8M9P756, A2BFU3	Q9Y2D1	many-to-one
OG0002169	A0A8M9PQZ5	Q9NTI2, Q9Y2Q0	one-to-many
OG0002170	A5PLI3	P32248, P46092	one-to-many
OG0002171	F8W428	Q13619, Q13620	one-to-many
OG0002172	F1QKP6	O14682, Q13939	one-to-many
OG0002173		Q6UWF7, Q8N323, Q96DL1	human_exclusive
OG0002174	A0A2R8RZ78, A0A8M1RMZ7	Q6ZSJ9	many-to-one
OG0002175	A0A8M3AZP4, A0A8M9QBV8	Q7Z3S7	many-to-one
OG0002176	A0A8M2BL72	Q4VCS5, Q8IY63	one-to-many
OG0002177	Q6TEM6	A6NEK1, Q8TBH0	one-to-many
OG0002178	Q90Z98	Q07817, Q92843	one-to-many
OG0002179	A0A8M2B261, A0A8M3AHJ9	Q9BT40	many-to-one
OG0002180	A0A0R4IH70	Q86WP2, Q9HC44	one-to-many
OG0002181	A0A8M1PZF8, F1QW26	Q9P242	many-to-one
OG0002182	A0A8M9QIJ5, Q7T2F4	Q9UGK3	many-to-one
OG0002183	E9QGX9	Q8WXF7, Q9ULX5	one-to-many
OG0002184	A0A8M1PU60	A6NF34, Q9H6X2	one-to-many
OG0002185		P27169, Q15165, Q15166	human_exclusive
OG0002186	A4QPA0	P48163, Q16798	one-to-many
OG0002187	P50574, Q98876	Q07687	many-to-one
OG0002188	A0A8M1RS95, A8WG03	Q13324	many-to-one
OG0002189	A0JMP2	A8MPX8, Q5SGD2	one-to-many
OG0002190	E7FE14	Q6PL18, Q9ULI0	one-to-many
OG0002191	Q5TYQ1	Q6WRX3, Q9C0D3	one-to-many
OG0002192	E7F498, Q7T392	Q7Z7N9	many-to-one
OG0002193	Q8UVJ6	Q8TAA9, Q9ULK5	one-to-many
OG0002194	A0A2R8QSI0, A0A8M1P914	Q96H79	many-to-one
OG0002195	A0A8M3ASH3, Q6P0D3	Q9BPX5	many-to-one
OG0002196	A4IG61	Q96C03, Q9NQG6	one-to-many
OG0002197	Q9PUE4	Q9UBF2, Q9Y678	one-to-many
OG0002198	C5H4R2, D7RVS5	O00341	many-to-one
OG0002199	Q642H5	P30153, P30154	one-to-many
OG0002200	A0T2N3, Q7SZP9	P35414	many-to-one
OG0002201	A0JMH0	Q12797, Q6ICH7	one-to-many
OG0002202		Q8IZT9, Q8IZU0, Q8IZU1	human_exclusive
OG0002203	F1Q7Z7, I6L846	Q8N9W5	many-to-one
OG0002204	A0A8M3B4Y6, A0A8M9PI17	Q92562	many-to-one
OG0002205	A0A8M3AP93	Q8IVB4, Q92581	one-to-many
OG0002206	A2RV08	P98170, Q96P09	one-to-many
OG0002207	Q6IQ73	P59074, Q9H444	one-to-many
OG0002208	A0A8M9PLL4, F1QF54	Q9NZU1	many-to-one
OG0002209	A0A8M2BDP0	Q86UW7, Q9ULU8	one-to-many
OG0002210	A0A8M9PE99	O60941, Q9Y4J8	one-to-many
OG0002211	A0A8M1NV56, Q5KQU0	O95841	many-to-one
OG0002212	F1QGS9	P08236, Q6P575	one-to-many
OG0002213	A0A2R8QPB8	P25098, P35626	one-to-many
OG0002214	Q9I9C7, Q9I9C8	P35716	many-to-one
OG0002215	A0A8M9PZC1	P42702, Q99650	one-to-many
OG0002216	A1A5V5, I3IRY7	P55085	many-to-one
OG0002217		P04155, Q03403, Q07654	human_exclusive
OG0002218	Q6P112	Q3MIN7, Q9NZL6	one-to-many
OG0002219	E7F2W1	P22760, Q6P093	one-to-many
OG0002220	A8WGA3, E7FB24	Q9BTN0	many-to-one
OG0002221	Q6DGE9	Q8IWX7, Q9H3U1	one-to-many
OG0002222	B0JZM7	Q15916, Q9HCK0	one-to-many
OG0002223	A0A8M2B9G9, A0A8M2BAW7	Q9NPB9	many-to-one
OG0002224	B8JLP8	Q9H7M6, Q9P217	one-to-many
OG0002225	A0A8M3B6S1	Q96CW9, Q9Y2I2	one-to-many
OG0002226		A0A1B0GVM5, P0DPP9, Q3ZM63	human_exclusive
OG0002227	Q0P485, Q6DHL7	A6NKD9	many-to-one
OG0002228	Q9I879	O00327, Q8WYA1	one-to-many
OG0002229	A0A8M2BLQ5, A0A8M9QJD5	O95294	many-to-one
OG0002230	Q6DH07, Q6PBM9	P36575	many-to-one
OG0002231		P47901, Q6W5P4, Q8NGU9	human_exclusive
OG0002232	Q1L8U4	P49760, P49761	one-to-many
OG0002233	A0A8M6YY94	Q12809, Q9H252	one-to-many
OG0002234	A0A8M2B6T0	O00358, Q13461	one-to-many
OG0002235	Q9W7E7	Q15797, Q99717	one-to-many
OG0002236	A9C3P2	Q53RE8, Q8N7Z5	one-to-many
OG0002237	A0A2R8RYU1, A0A8M3AW52	Q7Z7G0	many-to-one
OG0002238	A0A8M3ARM9	Q8WWB3, Q96IM9	one-to-many
OG0002239	Q6NW92	Q16270, Q8WX77	one-to-many
OG0002240	A0A8M9PM74, Q6DBR0	Q96CM3	many-to-one
OG0002241	A0A8M2BHI1, A0A8M9PNZ1	Q9BUH8	many-to-one
OG0002242	Q1LVQ4	Q9GZN6, Q9H2J7	one-to-many
OG0002243	E7F518, F6P6J7	Q9GZT9	many-to-one
OG0002244	A0A8M2BHH0, A0A8N7UVF8	Q9UBS5	many-to-one
OG0002245	F1R961, Q32PS1	Q9Y305	many-to-one
OG0002246	E7FFF8	Q6ZT62, Q9Y3L3	one-to-many
OG0002247	A0A8M9PPQ5, A5WVQ9	A6NNN8	many-to-one
OG0002248	Q803H7	O43736, Q9Y287	one-to-many
OG0002249	Q6T867, Q6T868	O60462	many-to-one
OG0002250	A4VAK4	P04792, Q14990	one-to-many
OG0002251	Q4VBH6, Q6PHG3	P27216	many-to-one
OG0002252	Q7ZW38	P49903, Q99611	one-to-many
OG0002253	A0A8M1PIL7	P54868, Q01581	one-to-many
OG0002254	A0A8M9PNL4	P55042, Q8IYK8	one-to-many
OG0002255	A0A2R8RI02, Q90Z31	Q15768	many-to-one
OG0002256	A0A8M3ANS5, A0A8M3B218	Q24JQ0	many-to-one
OG0002257	O13144, Q7ZZT5	Q96S42	many-to-one
OG0002258	A0A8M3AYL5	Q9BQS2, X6R8R1	one-to-many
OG0002259	A8KB41, Q9I8L7	Q9H2Z4	many-to-one
OG0002260	A0A0G2L8U4, A8KBY2	Q9HAW0	many-to-one
OG0002261	Q4KM14	Q5T4I8, Q9NX07	one-to-many
OG0002262	A0A8M3AK66, A4IG87	Q9UK55	many-to-one
OG0002263	Q66HZ2	Q8IXN7, Q9ULI2	one-to-many
OG0002264	A0A8M3B461	Q96GD3, Q9UQR0	one-to-many
OG0002265	A0A140LH42, A0A8M2BJS5	Q9Y2J0	many-to-one
OG0002266	A0A286YAE5, Q7SYD1	O95628	many-to-one
OG0002267	A0A8M9QD27	P00738, P00739	one-to-many
OG0002268	F1QKU2	P09958, Q6UW60	one-to-many
OG0002269	B0R1E9, Q5XJJ0	P10620	many-to-one
OG0002270	A0A8M3AM85, A0A8M3APG6	P46098	many-to-one
OG0002271	A0A8M9P869	Q13322, Q14451	one-to-many
OG0002272	Q6DRM1	Q5M9Q1, Q8N5F7	one-to-many
OG0002273	F1RBN9, Q498W5	Q66K66	many-to-one
OG0002274	A0A8M1REA1, A0A8M2BL61	Q7Z2K6	many-to-one
OG0002275	Q6WZD1, Q6WZD3	Q86UN3	many-to-one
OG0002276	Q1JQ18, Q6DGM1	Q8TB05	many-to-one
OG0002277	A0A8M9PCQ3	Q96MC4, Q9C0D2	one-to-many
OG0002278	A0A2R8PY98, Q58EM7	Q9H5V8	many-to-one
OG0002279	Q90ZM2	P61619, Q9H9S3	one-to-many
OG0002280	A0A8M2B2V0	Q641Q2, Q9Y4E1	one-to-many
OG0002281	A0A8M9PY83, Q802Y9	O43663	many-to-one
OG0002282	F1QUL7	O95050, P40261	one-to-many
OG0002283	A8WG98, D0E2W1	O95388	many-to-one
OG0002284	Q7SYD0	O75828, P16152	one-to-many
OG0002285	A0A8M2B4H6, A0A8M9P7D1	P50895	many-to-one
OG0002286	A0A8M6YVP0	P55197, P55198	one-to-many
OG0002287	Q6P6E2, Q6PBZ2	P62854	many-to-one
OG0002288	Q6P3H7	Q09028, Q16576	one-to-many
OG0002289	A0A8M9PK03	Q2V2M9, Q9Y613	one-to-many
OG0002290	A0A8M6YWB0, F1QAS0	Q86UE4	many-to-one
OG0002291	A0A8M9PWU7, Q1L911	Q8IXM6	many-to-one
OG0002292	Q08BA5	Q8WUE5, Q9BXT6	one-to-many
OG0002293	A0A0R3P9B9, F8W5N7	Q8WXD0	many-to-one
OG0002294	A0A8M2B4L6, A0A8M2BHH4	Q96NL1	many-to-one
OG0002295	A0A8M1P631, F6P784	Q99731	many-to-one
OG0002296	F1Q9D2	O75131, Q99829	one-to-many
OG0002297	Q32LQ4	Q93088, Q9H2M3	one-to-many
OG0002298	A0A8M2BKJ6	Q14141, Q9NVA2	one-to-many
OG0002299	A0A8M2B698	O00337, O43868	one-to-many
OG0002300	A0A8M1NIE6, A0A8M9PWC7	O14920	many-to-one
OG0002301	A0A8M9PGW6, O42145	P11511	many-to-one
OG0002302	A0A0R4IDG1, A2BHH9	P32745	many-to-one
OG0002303	Q6PC01	A6NDN8, P62861	one-to-many
OG0002304	Q5RHQ7	Q00839, Q1KMD3	one-to-many
OG0002305	Q7SYC7	Q8NFB2, Q9H7F4	one-to-many
OG0002306		P49019, Q8TDS4, Q9BXC0	human_exclusive
OG0002307	Q6DG72	P24855, Q92874	one-to-many
OG0002308	Q5XJ37	Q9UKT6, Q9UKT7	one-to-many
OG0002309	Q6IQH0	P09486, Q14515	one-to-many
OG0002310	A2Q0R5	P14902, Q6ZQW0	one-to-many
OG0002311	A9JRW9	P15514, Q99075	one-to-many
OG0002312	A0A8M6Z1Z9	P29353, Q6S5L8	one-to-many
OG0002313	A5D6R9	Q695T7, Q9NP91	one-to-many
OG0002314	A0A8M6YVU4, A0A8M9PTB0	Q6P1J6	many-to-one
OG0002315	A0A0R4IVX5, Q49TU3	Q86VZ6	many-to-one
OG0002316	A0A8M2BAN1	Q92539, Q9BQK8	one-to-many
OG0002317	F1Q4T4	A0A7P0TBJ1, Q14CZ0	one-to-many
OG0002318	Q1RLX8	P43681, Q15822	one-to-many
OG0002319	A0A8M1REL7	P48065, Q9NSD5	one-to-many
OG0002320	A1L260, Q5PQY9	Q5BKX8	many-to-one
OG0002321	B3DH26	Q6MZW2, Q8N475	one-to-many
OG0002322	Q561T3, Q804Q4	Q96CX2	many-to-one
OG0002323	F1R5W5	Q9BWM7, Q9H9B4	one-to-many
OG0002324	Q6PEI7	P17812, Q9NRF8	one-to-many
OG0002325	A0A8M9QBR0, A0A8N7T837	Q9P2J5	many-to-one
OG0002326	A5PN28, E7FAJ7	A6NHN0	many-to-one
OG0002327	Q7ZVM5	P23258, Q9NRH3	one-to-many
OG0002328	A0A8M1RN75, Q4KMD0	P57737	many-to-one
OG0002329	A0A0R4IES7, B8JIA1	Q2LD37	many-to-one
OG0002330	A0A8M6YTJ6, A0A8M9PA10	Q2NL67	many-to-one
OG0002331	Q5VSJ4	Q15375, Q5JZY3	one-to-many
OG0002332	B6IDE7	P0C091, Q5SZK8	one-to-many
OG0002333	A0A8M9QE07, E7EY38	Q7L1V2	many-to-one
OG0002334	A1A5I1	Q5BKY9, Q8N9E0	one-to-many
OG0002335	A3KNN3, Q5RHE5	Q96PB8	many-to-one
OG0002336	Q5PNM8	Q8N5S1, Q9BV35	one-to-many
OG0002337	A0A8M9QJE4, B8JII7	Q9H2L5	many-to-one
OG0002338	F1Q6P4, Q7T2E0	P27701	many-to-one
OG0002339	A0A8M2BL13	P41231, P51582	one-to-many
OG0002340	Q1RLQ4	P56545, Q13363	one-to-many
OG0002341	A0A0R4IIK5, A0A0R4IMZ6	Q16610	many-to-one
OG0002342	E7F4E7	Q68CZ1, Q96KN7	one-to-many
OG0002343	A0A8M9P753, A0PJS5	Q8IXP5	many-to-one
OG0002344		P17020, Q8N446, Q96NJ6	human_exclusive
OG0002345	B0BLV6	Q8NCW0, Q96MU8	one-to-many
OG0002346	A0A8M9PUQ6, B3DJX2	Q92543	many-to-one
OG0002347	Q1LYM4, Q568P3	Q96KN1	many-to-one
OG0002348	F1Q930, Q66IE4	Q96Q45	many-to-one
OG0002349	Q66I00, Q6AZ99	Q9H246	many-to-one
OG0002350	Q5RIK6	Q5TEA6, Q9UBV2	one-to-many
OG0002351		B2RBV5, Q96HT8, Q9Y605	human_exclusive
OG0002352		A0A1B0GTU2, A0A1B0GV90, Q4LDR2	human_exclusive
OG0002353	P0C7A6, Q1LVW0	A6QL63	many-to-one
OG0002354	A7MBV8, Q6NW59	P18848	many-to-one
OG0002355	A0A8N7TEP8, Q5PR62	P19237	many-to-one
OG0002356	A0A8M9QBN7, Q6NV10	P35346	many-to-one
OG0002357	A0A8M9QI67	P46019, P46020	one-to-many
OG0002358	A0A8M9PN98	P48039, Q13585	one-to-many
OG0002359	A0A8M9PN53, E7EZB6	Q16206	many-to-one
OG0002360	B0S6I8, F1Q751	Q6BEB4	many-to-one
OG0002361	A0A8M3AQE4, A0A8M3BDY0	Q6WCQ1	many-to-one
OG0002362	Q1LWB0, Q6P132	Q86VP1	many-to-one
OG0002363	E7FG94, Q5SNQ9	Q8N699	many-to-one
OG0002364	F1QUJ1	Q8N9I9, Q8TDB6	one-to-many
OG0002365	A0A8M3BET8	Q96RV3, Q9H6A9	one-to-many
OG0002366	A0A8M9Q830, E7F0B6	Q9BTV7	many-to-one
OG0002367	E9QCB4, Q6DHM5	Q9BYT1	many-to-one
OG0002368	A1L1Q9, X1WG80	Q9NXG6	many-to-one
OG0002369	Q6DRG7	O14974, O60237	one-to-many
OG0002370	E7F594, E7FD37	O60478	many-to-one
OG0002371	A0A8M9QCG3, Q2XNF5	P01588	many-to-one
OG0002372	A0A8M9PDC0, E7F0Y1	P05452	many-to-one
OG0002373	A0A8M2BIW9	P78368, Q9Y6M4	one-to-many
OG0002374	Q5RID7	Q15036, Q8N9S9	one-to-many
OG0002375	Q08BB2, Q32LT9	Q6GTS8	many-to-one
OG0002376	A0A8M3AXU4, F1QX23	Q8N680	many-to-one
OG0002377	A4ZNR4, A4ZNR5	Q969F2	many-to-one
OG0002378	A0A8M1P8M9, E7EZZ8	Q96HH4	many-to-one
OG0002379	A0A2R8QPF3, A0A8M9PWP2	Q96J92	many-to-one
OG0002380	A0A8M9PUL9, E7FEY1	Q99558	many-to-one
OG0002381	A0A8M3B5Q4, A0A8M6Z0H2	Q9BZV3	many-to-one
OG0002382	Q0P3W2, Q29RB4	Q9NRN5	many-to-one
OG0002383	A2VD52, Q498P1	Q9NZF1	many-to-one
OG0002384	A0A0R4IE78	C9J798, O43374	one-to-many
OG0002385	A0A8N7TCV0	O43903, Q86XJ1	one-to-many
OG0002386	A0A8M1RHJ5, A0A8M9QIX8	O60861	many-to-one
OG0002387	Q5TKR7, Q5TKR8	O76093	many-to-one
OG0002388	B3DIR8	O95377, Q9NTQ9	one-to-many
OG0002389	Q8AW58	Q7L622, Q9BWX1	one-to-many
OG0002390	Q68EH0	P15170, Q8IYD1	one-to-many
OG0002391	Q68EH4	O75626, Q8IZ20	one-to-many
OG0002392	A7E2J2, Q08CN9	Q8NHG8	many-to-one
OG0002393	F1QC46	Q5VU65, Q8TEM1	one-to-many
OG0002394	A0A0R4IE83, F1Q792	Q9BZE0	many-to-one
OG0002395	A0A8M1QKV7, A0A8M2BLK1	Q9P2F9	many-to-one
OG0002396	A0A8M9PG42, A0A8M9QM58	A6NK59	many-to-one
OG0002397	A0A8M1RT39, F1QL35	P07996	many-to-one
OG0002398	A0A8M1RME2, A0A8M9PP03	P08118	many-to-one
OG0002399	A0A8M6Z851, F1Q7F9	Q16563	many-to-one
OG0002400		Q4G0X4, Q693B1, Q6PI47	human_exclusive
OG0002401		A6NEV1, Q6ZRP0, Q6ZRT6	human_exclusive
OG0002402	A0A8M2BGR8, A0A8M9P700	Q75V66	many-to-one
OG0002403	E7FFX1, Q1ECW2	Q8IUM7	many-to-one
OG0002404	A0A8M2B9H4, A0A8M9QLS0	Q8NDX6	many-to-one
OG0002405		Q8IUE0, Q8IUE1, Q9GZN2	human_exclusive
OG0002406	A9JTG5, X1WDE8	Q9H0F6	many-to-one
OG0002407	A0A0G2KCC7	O94819, Q96G42	one-to-many
OG0002408	Q8UW07	P04798, P05177	one-to-many
OG0002409	F1REJ1	O75185, P98194	one-to-many
OG0002410	Q6PEI4	Q05209, Q9Y2R2	one-to-many
OG0002411	E7FFE9	Q09470, Q96RP8	one-to-many
OG0002412	A0A8M1RRC7	Q5VZY2, Q8NEB5	one-to-many
OG0002413	A0A8M3ATB3, A0A8M6YUQ2	Q86XD5	many-to-one
OG0002414	Q5CZV4	Q8N3T1, Q8N4A0	one-to-many
OG0002415	Q5XJQ7	Q8N2R0, Q8TAX0	one-to-many
OG0002416	F1R3Z4	O75815, Q9BRG2	one-to-many
OG0002417	B7SXM5, E7F7B8	Q9BTL4	many-to-one
OG0002418	A0A8M9QGD2, Q6DGT2	Q9NQX7	many-to-one
OG0002419	A0A0R4IP53	Q7L7X3, Q9UL54	one-to-many
OG0002420	A0A8M3AWA3, A0A8M6YWK8	A4D1S5	many-to-one
OG0002421	Q6DI01	A9QM74, P52292	one-to-many
OG0002422	A0A8M9PXD6	O15399, Q12879	one-to-many
OG0002423	A0A8M6YVI4, Q7SZS0	O75494	many-to-one
OG0002424	Q5XJ71	P02746, P02747	one-to-many
OG0002425	Q68EK2	P30988, Q16602	one-to-many
OG0002426	A0A8M2BJG8, A0A8M6Z5I7	Q6VY07	many-to-one
OG0002427	Q1LY51	Q6ZNC4, Q9NR83	one-to-many
OG0002428	A0A140LGR1, A0A8M3B4R1	Q70EL1	many-to-one
OG0002429	A0A8M1PZB7, A0A8M6Z8J5	Q9UKA4	many-to-one
OG0002430	A0A0R4IRJ4, X1WDQ3	Q9ULL5	many-to-one
OG0002431	E9QI36	P12081, P49590	one-to-many
OG0002432	Q800C7	P36544, Q494W8	one-to-many
OG0002433	Q8JHE0	P48729, Q8N752	one-to-many
OG0002434	A0A8M2B6J5	Q5VV43, Q8IZA0	one-to-many
OG0002435	Q6IQS4	P00374, Q86XF0	one-to-many
